xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   15.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.998727
Cy    =    0.000000
Cd    =    0.088728     ICd   =    0.063903     PCd   =    0.024825
Cl   = -4.42716e-17
Cm   =   -0.225638
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.050730     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   53.280081

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400   -12.111    0.326375    0.007064    0.068990   -0.082122   -0.000529     0.5772    0.7459    0.2457    0.0000
   -0.6087     0.2400    -9.367    0.592844    0.010511    0.096917   -0.142527    0.005684     0.1272    0.8427    0.2327    0.0341
   -0.5702     0.2400    -7.277    0.790866    0.014047    0.100451   -0.186921    0.010795     0.0287    0.9684    0.2267    0.2906
   -0.5178     0.2400    -5.895    0.928464    0.017318    0.095524   -0.221547    0.010569     0.0210    1.0000    0.2275    1.1777
   -0.4525     0.2400    -4.342    1.006527    0.021834    0.076282   -0.228793    0.022839     0.0181    1.0000    0.2141    3.2944
   -0.3762     0.2400    -3.449    1.054010    0.025458    0.063440   -0.236392    0.027110     0.0172    1.0000    0.2096    7.3215
   -0.2906     0.2400    -2.857    1.082071    0.028371    0.053957   -0.241065    0.029453     0.0167    1.0000    0.2072   13.9174
   -0.1978     0.2400    -2.499    1.097930    0.030283    0.047894   -0.243755    0.030727     0.0164    1.0000    0.2058   23.6132
   -0.1001     0.2400    -2.298    1.105811    0.031481    0.044351   -0.245102    0.031350     0.0162    1.0000    0.2051   36.7234
   -0.0000     0.2400    -2.237    1.108199    0.031844    0.043267   -0.245511    0.031539     0.0162    1.0000    0.2048   53.2801
    0.1001     0.2400    -2.298    1.105811    0.031481    0.044351   -0.245102    0.031350     0.0162    1.0000    0.2051   36.7234
    0.1978     0.2400    -2.499    1.097930    0.030283    0.047894   -0.243755    0.030727     0.0164    1.0000    0.2058   23.6132
    0.2906     0.2400    -2.857    1.082071    0.028371    0.053957   -0.241065    0.029453     0.0167    1.0000    0.2072   13.9174
    0.3762     0.2400    -3.449    1.054010    0.025458    0.063440   -0.236392    0.027110     0.0172    1.0000    0.2096    7.3215
    0.4525     0.2400    -4.342    1.006527    0.021834    0.076282   -0.228793    0.022839     0.0181    1.0000    0.2141    3.2944
    0.5178     0.2400    -5.895    0.928464    0.017318    0.095524   -0.221547    0.010569     0.0210    1.0000    0.2275    1.1777
    0.5702     0.2400    -7.277    0.790866    0.014047    0.100451   -0.186921    0.010795     0.0287    0.9684    0.2267    0.2906
    0.6087     0.2400    -9.367    0.592844    0.010511    0.096917   -0.142527    0.005684     0.1272    0.8427    0.2327    0.0341
    0.6321     0.2400   -12.111    0.326375    0.007064    0.068990   -0.082122   -0.000529     0.5772    0.7459    0.2457    0.0000




