xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   14.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.980375
Cy    =    0.000000
Cd    =    0.084264     ICd   =    0.061236     PCd   =    0.023028
Cl   = -2.44512e-17
Cm   =   -0.223938
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.051291     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   52.088764

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238   -11.498    0.338353    0.007264    0.067900   -0.102275   -0.000329     0.5771    0.7544    0.2450    0.0000
   -0.6087     0.2388    -9.040    0.578031    0.010131    0.091200   -0.141881    0.005052     0.1579    0.8350    0.2337    0.0330
   -0.5702     0.2400    -6.962    0.768437    0.013630    0.093376   -0.180995    0.011525     0.0305    0.9595    0.2256    0.2817
   -0.5178     0.2400    -5.754    0.906139    0.016535    0.091006   -0.219017    0.008002     0.0222    0.9979    0.2306    1.1428
   -0.4525     0.2400    -4.281    0.985180    0.020169    0.073617   -0.226870    0.019951     0.0186    1.0000    0.2171    3.2030
   -0.3762     0.2400    -3.373    1.032182    0.023626    0.060769   -0.233408    0.025189     0.0176    1.0000    0.2116    7.1309
   -0.2906     0.2400    -2.808    1.060812    0.026140    0.051983   -0.238071    0.027699     0.0171    1.0000    0.2090   13.5726
   -0.1978     0.2400    -2.462    1.077369    0.027816    0.046303   -0.240828    0.029090     0.0167    1.0000    0.2076   23.0513
   -0.1001     0.2400    -2.271    1.085846    0.028838    0.043044   -0.242270    0.029772     0.0166    1.0000    0.2068   35.8784
   -0.0000     0.2400    -2.213    1.088448    0.029152    0.042032   -0.242713    0.029981     0.0165    1.0000    0.2066   52.0888
    0.1001     0.2400    -2.271    1.085846    0.028838    0.043044   -0.242270    0.029772     0.0166    1.0000    0.2068   35.8784
    0.1978     0.2400    -2.462    1.077369    0.027816    0.046303   -0.240828    0.029090     0.0167    1.0000    0.2076   23.0513
    0.2906     0.2400    -2.808    1.060812    0.026140    0.051983   -0.238071    0.027699     0.0171    1.0000    0.2090   13.5726
    0.3762     0.2400    -3.373    1.032182    0.023626    0.060769   -0.233408    0.025189     0.0176    1.0000    0.2116    7.1309
    0.4525     0.2400    -4.281    0.985180    0.020169    0.073617   -0.226870    0.019951     0.0186    1.0000    0.2171    3.2030
    0.5178     0.2400    -5.754    0.906139    0.016535    0.091006   -0.219017    0.008002     0.0222    0.9979    0.2306    1.1428
    0.5702     0.2400    -6.962    0.768437    0.013630    0.093376   -0.180995    0.011525     0.0305    0.9595    0.2256    0.2817
    0.6087     0.2388    -9.040    0.578031    0.010131    0.091200   -0.141881    0.005052     0.1579    0.8350    0.2337    0.0330
    0.6321     0.2238   -11.498    0.338353    0.007264    0.067900   -0.102275   -0.000329     0.5771    0.7544    0.2450    0.0000




